iter	Logloss
0	0.4024916435
1	0.2291828979
2	0.1321117777
3	0.08083268647
4	0.05153141395
5	0.03492389301
6	0.02496806678
7	0.01821933696
8	0.01453819358
9	0.01189119129
10	0.01004264397
11	0.008839198349
12	0.008049401572
13	0.007467860315
14	0.007090116217
15	0.006824099374
16	0.006589386846
17	0.00642618823
18	0.006265228605
19	0.006144444233
20	0.00605441822
21	0.005968162615
22	0.005882114312
23	0.005811235184
24	0.005765213805
25	0.005740643195
26	0.005691856737
27	0.00564925859
28	0.005600589416
29	0.005561545178
30	0.005515560202
31	0.005482645071
32	0.005461977486
33	0.00543940712
34	0.005418638405
35	0.005401868002
36	0.005383424198
37	0.005359724211
38	0.005328035288
39	0.005304082375
40	0.00527480018
41	0.005233157101
42	0.005218970893
43	0.005191453255
44	0.005167572583
45	0.005155980759
46	0.005141522953
47	0.005113525039
48	0.005086839519
49	0.005062274871
50	0.005052755248
51	0.005026252488
52	0.005014770589
53	0.005006298829
54	0.004981421226
55	0.004974010329
56	0.004952377868
57	0.004935727467
58	0.004920334325
59	0.004908515719
60	0.004902475619
61	0.004890594603
62	0.004880989368
63	0.004874832635
64	0.004863963248
65	0.004847018571
66	0.004834958477
67	0.004830501157
68	0.004809096346
69	0.004794833704
70	0.00478510295
71	0.004780538712
72	0.004772332956
73	0.004767968902
74	0.004747504319
75	0.004736398863
76	0.00472830174
77	0.004712487074
78	0.004704558151
79	0.004694488675
80	0.004669615433
81	0.0046612304
82	0.004651445533
83	0.004640475715
84	0.004632289514
85	0.004622938123
86	0.004618859775
87	0.004614248464
88	0.004600287937
89	0.00459034554
90	0.004585077304
91	0.004576527833
92	0.004564369864
93	0.004558285063
94	0.004554840768
95	0.004549802096
96	0.004542154807
97	0.004525952242
98	0.004515188137
99	0.004505035838
100	0.004497773395
101	0.004495414364
102	0.004491742142
103	0.004487486595
104	0.004480996526
105	0.004470403972
106	0.004464483132
107	0.004458799493
108	0.004446776378
109	0.004431570371
110	0.004416668309
111	0.004411563046
112	0.004405871611
113	0.004395596942
114	0.004388439194
115	0.004380854683
116	0.004368874086
117	0.004362924926
118	0.004351584771
119	0.004349614613
120	0.004340464686
121	0.00433427661
122	0.004325187969
123	0.004319441167
124	0.00431167701
125	0.004297417769
126	0.004288164033
127	0.004279163739
128	0.00427226001
129	0.004262085531
130	0.004252396577
131	0.004238394148
132	0.00423425389
133	0.004231128132
134	0.004225054805
135	0.004219670154
136	0.004209848339
137	0.004202323747
138	0.004190401939
139	0.004183419081
140	0.004173396521
141	0.004167943357
142	0.004157960236
143	0.004145692292
144	0.004137425216
145	0.004134920079
146	0.004130423404
147	0.004123678574
148	0.004116371234
149	0.004108442002
150	0.004101279729
151	0.004096690331
152	0.004091412553
153	0.004084062743
154	0.004079340438
155	0.004069987215
156	0.004065428365
157	0.004056835758
158	0.004050949133
159	0.004044422416
160	0.004037679229
161	0.004032242162
162	0.004022952907
163	0.004012815247
164	0.004002635689
165	0.004000749348
166	0.003994336861
167	0.003990701277
168	0.003981199479
169	0.003966231776
170	0.003949692933
171	0.003945707843
172	0.003940790534
173	0.003936686009
174	0.003929859052
175	0.003923698664
176	0.003915875783
177	0.003913220279
178	0.003899335263
179	0.003892587323
180	0.003885593586
181	0.003882682539
182	0.003870900407
183	0.003865217522
184	0.003863200088
185	0.003857464095
186	0.003849917062
187	0.003843580037
188	0.003841029399
189	0.003838294863
190	0.003835806549
191	0.003824236605
192	0.003817639411
193	0.003812951712
194	0.003805965593
195	0.003803671528
196	0.003797346386
197	0.003786272366
198	0.003780964538
199	0.003778719006
200	0.003773387455
201	0.003765845508
202	0.003761574244
203	0.003755964936
204	0.003745465296
205	0.00374303493
206	0.003733214109
207	0.003730213959
208	0.0037260359
